Name,Amount Correct Noise,Amount Total Noise,Amount Correct Local,Amount Total Local,Total Percent Correct,Epochs
everywhere-untested/33.606701--116.700203-minmag1,1238,1306,882,998,0.9201388888888888,10
everywhere-untested/-36.405701--72.401299,1400,1422,103,114,0.978515625,10
everywhere-untested/48.010799--114.363297,1294,1298,480,494,0.9899553571428571,10
everywhere-untested/33.005699--116.592598-minmag1,1066,1071,178,209,0.971875,10
everywhere-untested/35.526001--90.442001,33,92,131,164,0.640625,10
everywhere-untested/-33.451778--70.530807,1103,1107,118,173,0.95390625,10
everywhere-untested/42.076698--124.293404-minmag1,1364,1383,77,153,0.9381510416666666,10
everywhere-untested/33.607201--116.6996-minmag1,1191,1248,935,1056,0.9227430555555556,10
everywhere-untested/-34.496052--71.961197,164,187,68,69,0.90625,10
everywhere-untested/-35.694698--72.124001,1337,1355,171,181,0.9817708333333334,10
everywhere-untested/47.539661--124.251381-minmag1,1144,1177,315,359,0.9498697916666666,10
everywhere-untested/39.721161--111.824799,99,108,144,148,0.94921875,10
everywhere-untested/36.32098--119.382263,124,131,118,125,0.9453125,10
everywhere-untested/47.582088--122.331451-minmag1,987,987,0,37,0.9638671875,10
everywhere-untested/-32.578602--71.452797,179,204,279,308,0.89453125,10
everywhere-untested/39.155861--111.819458,134,135,119,121,0.98828125,10
everywhere-untested/47.5751--122.417603,1375,1405,66,131,0.9381510416666666,10
