Name,Amount Correct Noise,Amount Total Noise,Amount Correct Local,Amount Total Local,Total Percent Correct,Epochs
everywhere-less-than-97/37.297382--97.998001,535,573,918,963,0.9459635416666666,10
everywhere-less-than-97/19.698593--155.02449,288,335,861,945,0.89765625,10
everywhere-less-than-97/37.153419--97.758972,77,78,842,946,0.8974609375,10
everywhere-less-than-97/36.724602--116.975899,667,1360,734,944,0.6080729166666666,10
everywhere-less-than-97/32.759655--115.732071,497,1458,1092,1102,0.620703125,10
everywhere-less-than-97/40.706799--119.467697,473,1241,251,295,0.4713541666666667,10
everywhere-less-than-97/33.059166--116.569328,517,835,794,957,0.7315848214285714,10
everywhere-less-than-97/33.607101--116.699799-minmag1,1229,1328,904,976,0.92578125,10
everywhere-less-than-97/15.94935--61.28223,76,78,168,178,0.953125,10
everywhere-less-than-97/14.84108--61.163799-minmag1,1073,1163,62,117,0.88671875,10
everywhere-less-than-97/14.524621--91.694939,1309,1418,559,630,0.912109375,10
everywhere-less-than-97/45.885201--121.459702,1043,1410,310,382,0.7550223214285714,10
everywhere-less-than-97/35.230999--89.983002,309,365,128,147,0.853515625,10
everywhere-less-than-97/-35.009899--71.930298,119,120,135,136,0.9921875,10
everywhere-less-than-97/32.302898--115.075996,1268,1336,872,968,0.9288194444444444,10
everywhere-less-than-97/36.07--91.153999,339,1360,160,176,0.3248697916666667,10
everywhere-less-than-97/61.142601--150.2164,1226,1426,975,1134,0.859765625,10
everywhere-less-than-97/California,1073,1306,187,230,0.8203125,10
everywhere-less-than-97/Puerto,1084,1150,864,898,0.951171875,10
everywhere-less-than-97/44.3951--110.576202,1468,1539,925,1021,0.934765625,10
everywhere-less-than-97/32.004799--115.947998,107,122,882,902,0.9658203125,10
everywhere-less-than-97/33.423874--115.686996,310,891,104,133,0.404296875,10
everywhere-less-than-97/15.438--61.421001,522,553,201,215,0.94140625,10
everywhere-less-than-97/47.762299--127.757896,1054,1079,173,201,0.95859375,10
everywhere-less-than-97/47.620701--122.351402,1018,1181,53,99,0.83671875,10
everywhere-less-than-97/48.264099--122.096001,1019,1434,451,614,0.7177734375,10
everywhere-less-than-97/32.929722--97.539719,1325,1431,101,105,0.9283854166666666,10
everywhere-less-than-97/14.84108--61.163799,943,1304,132,232,0.6998697916666666,10
everywhere-less-than-97/47.749191--124.175438,1269,1371,135,165,0.9140625,10
everywhere-less-than-97/33.607399--116.699501-minmag1,767,875,871,917,0.9140625,10
everywhere-less-than-97/37.863895--122.219063,172,355,777,925,0.74140625,10
everywhere-less-than-97/33.606899--116.699997-minmag1,1237,1351,897,953,0.9262152777777778,10
everywhere-less-than-97/37.226719--97.970947,886,933,829,859,0.95703125,10
everywhere-less-than-97/12.4868--61.426998,131,193,54,63,0.72265625,10
everywhere-less-than-97/47.534698--123.089401,1187,1405,258,387,0.8063616071428571,10
everywhere-less-than-97/35.555--90.656998,746,1117,129,163,0.68359375,10
everywhere-less-than-97/33.274811--115.52137,647,1010,990,1038,0.79931640625,10
everywhere-less-than-97/46.5578--119.5345,864,949,823,843,0.94140625,10
everywhere-less-than-97/19.485115--155.597137,1406,1516,914,1044,0.90625,10
everywhere-less-than-97/19.372066--155.45723,471,471,805,809,0.996875,10
everywhere-less-than-97/35.65205--97.371117,1296,1410,839,894,0.9266493055555556,10
everywhere-less-than-97/37.863895--122.219063-minmag1,309,411,587,869,0.7,10
everywhere-less-than-97/33.292229--115.977844,619,693,803,843,0.92578125,10
everywhere-less-than-97/39.303299--120.340897,923,1460,264,332,0.6623883928571429,10
everywhere-less-than-97/16.916298--89.866737,719,873,113,151,0.8125,10
everywhere-less-than-97/36.574001--89.584999,359,371,131,141,0.95703125,10
everywhere-less-than-97/33.608299--116.698402-minmag1,1256,1320,871,984,0.9231770833333334,10
everywhere-less-than-97/45.309509--123.822891,1255,1381,113,155,0.890625,10
everywhere-less-than-97/33.539501--116.591904,1411,1481,1045,1079,0.959375,10
everywhere-less-than-97/32.457901--114.704903,942,1103,324,433,0.82421875,10
everywhere-less-than-97/46.925701--123.916-minmag1,1247,1367,129,169,0.8958333333333334,10
everywhere-less-than-97/39.426399--120.311897,1115,1368,161,168,0.8307291666666666,10
everywhere-less-than-97/37.368--117.972198,481,1420,469,628,0.4638671875,10
everywhere-less-than-97/35.602001--90.300003,942,1124,102,156,0.815625,10
everywhere-less-than-97/37.914547--122.376755,385,940,686,852,0.59765625,10
everywhere-less-than-97/17.969427--67.04422,447,453,816,827,0.98671875,10
everywhere-less-than-97/47.525471--122.301659,1259,1433,59,103,0.8580729166666666,10
everywhere-less-than-97/33.357243--116.85955-minmag1,0,969,823,823,0.45926339285714285,10
everywhere-less-than-97/32.302898--115.075996-minmag1,1202,1316,913,988,0.91796875,10
everywhere-less-than-97/37.10865--97.872276,1088,1116,876,932,0.958984375,10
everywhere-less-than-97/28.2502--16.5082,1190,1418,338,374,0.8526785714285714,10
everywhere-less-than-97/44.295071--122.040871,869,927,81,97,0.927734375,10
everywhere-less-than-97/33.609402--116.697197-minmag1,1059,1114,868,934,0.94091796875,10
everywhere-less-than-97/37.471775--122.35714,146,391,834,889,0.765625,10
everywhere-less-than-97/35.153831--90.090561,807,865,135,159,0.919921875,10
everywhere-less-than-97/46.925701--123.916,1310,1420,291,372,0.8934151785714286,10
everywhere-less-than-97/46.5578--119.5345-minmag1,722,782,223,242,0.9228515625,10
everywhere-less-than-97/32.840736--117.249695,488,1041,966,1007,0.7099609375,10
everywhere-less-than-97/19.480289--154.888565,1375,1377,927,927,0.9991319444444444,10
everywhere-less-than-97/39.207699--120.125999,1156,1524,830,1036,0.77578125,10
everywhere-less-than-97/37.815014--87.592155,807,888,123,136,0.908203125,10
everywhere-less-than-97/48.370701--124.589104,1188,1373,341,419,0.8532366071428571,10
everywhere-less-than-97/45.454971--123.830704,1292,1373,131,163,0.9264322916666666,10
everywhere-less-than-97/36.807339--97.74765,1368,1390,143,146,0.9837239583333334,10
