,cluster_id,clusters_prob,end_time,start_time,utc_timestamp
121,5,"[4.8399724e-09, 0.0042455629, 1.0918177e-09, 2.8824315e-10, 0.00012527648, 0.99561113]",2016-08-01T00:31:31.000000Z,2016-08-01T00:31:21.000000Z,[  1.47001149e+09]
122,0,"[0.44034129, 1.2792071e-05, 0.30152032, 1.0252006e-06, 0.18710695, 0.020449337]",2016-08-01T00:31:42.000000Z,2016-08-01T00:31:32.000000Z,[  1.47001150e+09]
123,2,"[2.3433729e-07, 0.00012002677, 0.95109677, 0.0069771009, 0.0063161082, 0.00048265496]",2016-08-01T00:31:53.000000Z,2016-08-01T00:31:43.000000Z,[  1.47001151e+09]
124,2,"[5.0026091e-11, 2.0537599e-11, 0.78002346, 0.18712744, 0.0044308668, 0.028417392]",2016-08-01T00:32:04.000000Z,2016-08-01T00:31:54.000000Z,[  1.47001152e+09]
125,5,"[1.0602306e-06, 4.1309881e-06, 0.31016386, 0.1946709, 0.047526851, 0.34237221]",2016-08-01T00:32:15.000000Z,2016-08-01T00:32:05.000000Z,[  1.47001153e+09]
126,1,"[9.9207704e-05, 0.40755945, 0.21898854, 0.0016521347, 0.023003863, 0.34857732]",2016-08-01T00:32:37.000000Z,2016-08-01T00:32:27.000000Z,[  1.47001155e+09]
127,5,"[2.4007579e-07, 0.00056046108, 2.4634136e-07, 2.6025323e-06, 0.00077910477, 0.94174469]",2016-08-01T00:32:48.000000Z,2016-08-01T00:32:38.000000Z,[  1.47001156e+09]
128,2,"[4.1661347e-05, 0.00099059369, 0.61319745, 0.37442383, 0.010789311, 0.00050439377]",2016-08-01T00:33:10.000000Z,2016-08-01T00:33:00.000000Z,[  1.47001158e+09]
129,2,"[0.028412789, 1.7522625e-05, 0.95168573, 0.0016813315, 0.014847409, 0.0032443071]",2016-08-01T00:33:21.000000Z,2016-08-01T00:33:11.000000Z,[  1.47001160e+09]
130,3,"[7.216267e-10, 1.8006455e-09, 0.00018132989, 0.68951732, 0.016625784, 0.29360965]",2016-08-01T00:33:43.000000Z,2016-08-01T00:33:33.000000Z,[  1.47001162e+09]
131,5,"[1.8634924e-12, 1.6120174e-06, 1.744713e-15, 1.5381475e-12, 2.2150545e-05, 0.99997616]",2016-08-01T00:34:05.000000Z,2016-08-01T00:33:55.000000Z,[  1.47001164e+09]
132,1,"[5.7949423e-05, 0.6019963, 2.5542647e-08, 3.3924653e-08, 0.00052432314, 0.39737025]",2016-08-01T00:34:16.000000Z,2016-08-01T00:34:06.000000Z,[  1.47001165e+09]
133,5,"[7.7380879e-10, 1.6741073e-05, 1.3032911e-11, 0.001881651, 2.0180437e-07, 0.99807727]",2016-08-01T00:34:27.000000Z,2016-08-01T00:34:17.000000Z,[  1.47001166e+09]
134,2,"[0.022264002, 0.094051309, 0.77504551, 0.001343491, 0.052669916, 0.054400351]",2016-08-01T00:36:39.000000Z,2016-08-01T00:36:29.000000Z,[  1.47001179e+09]
135,5,"[0.0011936527, 0.00025464117, 0.043452222, 0.16085662, 0.024190299, 0.51476991]",2016-08-01T00:36:50.000000Z,2016-08-01T00:36:40.000000Z,[  1.47001180e+09]
